subject,category,congruency,accuracy,median_rt
1,1,1,0.966386555,517
2,1,1,0.821138211,479
3,1,1,0.968253968,478.5
4,1,1,0.926229508,509
5,1,1,0.921875,486.5
6,1,1,0.916666667,464
7,1,1,0.90625,421.5
8,1,1,0.913385827,444
9,1,1,0.976190476,456
10,1,1,0.948979592,432
11,1,1,0.78125,321.5
12,1,1,0.9609375,486.5
13,1,1,0.94488189,458
14,1,1,0.912698413,535.5
15,1,1,0.9609375,415.5
16,1,1,0.9453125,465
17,1,1,0.966942149,541
18,1,1,0.921875,411
19,1,1,0.98245614,523
20,1,1,0.957983193,583
21,1,1,0.748031496,493
22,1,1,0.968503937,488
23,1,1,0.930693069,595
1,1,2,0.866666667,549
2,1,2,0.704918033,504
3,1,2,0.95,507.5
4,1,2,0.868852459,549
5,1,2,0.936507937,499
6,1,2,0.883333333,493
7,1,2,0.828125,467.5
8,1,2,0.888888889,444
9,1,2,0.9375,468.5
10,1,2,0.916666667,449
11,1,2,0.75,322.5
12,1,2,0.783333333,500
13,1,2,0.875,460.5
14,1,2,0.6875,558
15,1,2,0.78125,454
16,1,2,0.875,494.5
17,1,2,0.819672131,517
18,1,2,0.78125,422
19,1,2,0.946428571,584.5
20,1,2,0.890909091,642
21,1,2,0.765625,499.5
22,1,2,0.890625,505.5
23,1,2,0.86,617
1,2,1,0.96031746,473.5
2,2,1,0.947368421,490.5
3,2,1,0.976,469
4,2,1,0.958677686,495
5,2,1,0.96875,458.5
6,2,1,0.952380952,470.5
7,2,1,0.9375,433
8,2,1,0.8828125,432.5
9,2,1,0.9921875,424
10,2,1,0.894736842,415
11,2,1,0.859375,326
12,2,1,1,470
13,2,1,0.921259843,450
14,2,1,0.992,495
15,2,1,0.992125984,395
16,2,1,0.984375,443.5
17,2,1,0.941176471,509
18,2,1,0.9609375,408.5
19,2,1,0.991071429,515
20,2,1,0.992125984,540
21,2,1,0.944444444,461.5
22,2,1,0.96031746,481.5
23,2,1,0.990291262,541
1,2,2,0.920634921,489
2,2,2,0.894736842,486
3,2,2,1,477
4,2,2,0.883333333,488.5
5,2,2,0.96875,462
6,2,2,0.967741935,457.5
7,2,2,0.875,431
8,2,2,0.90625,437.5
9,2,2,0.984375,444.5
10,2,2,0.897959184,434
11,2,2,0.8125,322.5
12,2,2,0.96875,477
13,2,2,0.890625,465
14,2,2,0.950819672,468
15,2,2,0.96875,430
16,2,2,0.984375,445
17,2,2,0.901639344,543
18,2,2,0.859375,413.5
19,2,2,0.982142857,517
20,2,2,0.984126984,556
21,2,2,0.890625,488
22,2,2,0.96875,508
23,2,2,0.962962963,566.5
